category,sku_name,price_rub,nominal_current_a,product_type,notes
Контакторы,КТ 6012Б (100А),6000,100,KT,
Контакторы,КТ 6022Б (160А),6100,160,KT,
Контакторы,КТ 6013Б (100А),6715,100,KT,
Контакторы,КТ 6023Б (160А),6850,160,KT,
Контакторы,КТ 6014Б (80А),10800,80,KT,
Контакторы,КТ 6024Б (125А),10800,125,KT,
Контакторы,КТ 6032Б медные контакты,15600,250,KT,медные контакты
Контакторы,КТ 6033Б (250А) медные контакты,16800,250,KT,медные контакты
Контакторы,КТ 6632 (250А),11275,250,KT,
Контакторы,КТ 6633 (250А),13055,250,KT,
Контакторы,КТ 6634 (160А),16930,160,KT,
Контакторы,КТ 6042Б (400А) медные контакты,21500,400,KT,медные контакты
Контакторы,КТ 6043Б (400А) медные контакты,25100,400,KT,медные контакты
Контакторы,КТ 6052Б (630А) медные контакты,28420,630,KT,медные контакты
Контакторы,КТ 6053Б (630А) медные контакты,32675,630,KT,медные контакты
Контакторы,КТ 6012БС (100А),10460,100,KT,исполнение БС
Контакторы,КТ 6022БС (160А),11060,160,KT,исполнение БС
Контакторы,КТ 6013БС (100А),12080,100,KT,исполнение БС
Контакторы,КТ 6023БС (160А),12600,160,KT,исполнение БС
Контакторы,КТ 6014БС (80А),16895,80,KT,исполнение БС
Контакторы,КТ 6024БС (125А),16895,125,KT,исполнение БС
Контакторы,КТ 6033 БС (250А),22985,250,KT,исполнение БС
Контакторы,КТ 6043 БС,31500,400,KT,исполнение БС
Контакторы,КТ 6053БС,40095,630,KT,исполнение БС
Контакторы,КТ 6612С/КТ 6622С (160А),12370,160,KT,исполнение С
Контакторы,КТ 6623С (160А),15410,160,KT,исполнение С
Контакторы,КТ 6632С (250А),14620,250,KT,исполнение С
Контакторы,КТ 6633С (250А),16310,250,KT,исполнение С
Контакторы,КТ 6634С (160А),19140,160,KT,исполнение С
Контакторы,КТ 6642С (400А),22960,400,KT,исполнение С
Контакторы,КТ 6643С (400А),31300,400,KT,исполнение С
Контакторы,КТ 6652С (630А),36430,630,KT,исполнение С
Контакторы,КТ 6653С (630А),42265,630,KT,исполнение С
Контакторы,КТ 6663С (1000А),56105,1000,KT,исполнение С
Контакторы,КТ 7223 (125А),17375,125,KT,серия 7200
Контакторы,КТП 6012Б (100А),10535,100,KTP,
Контакторы,КТП 6012БС (100А),12800,100,KTP,исполнение БС
Контакторы,КТП 6022Б (160А),11015,160,KTP,
Контакторы,КТП 6022БС (160А),13225,160,KTP,исполнение БС
Контакторы,КТП 6013Б (100А),11630,100,KTP,
Контакторы,КТП 6013БС (100А),14900,100,KTP,исполнение БС
Контакторы,КТП 6023Б (160А),13115,160,KTP,
Контакторы,КТП 6023БС (160А),15670,160,KTP,исполнение БС
Контакторы,КТП 6623,15170,160,KTP,
Контакторы,КТП 6014Б (80А),15210,80,KTP,
Контакторы,КТП 6024Б (125А),15210,125,KTP,
Контакторы,КТП 6014БС (80А),18300,80,KTP,исполнение БС
Контакторы,КТП 6024БС (125А),18300,125,KTP,исполнение БС
Контакторы,КТП 6032Б медные контакты,18860,250,KTP,медные контакты
Контакторы,КТП 6032 БС,21750,250,KTP,исполнение БС
Контакторы,КТП 6033Б медные контакты,20685,250,KTP,медные контакты
Контакторы,КТП 6033БС (250А),26905,250,KTP,исполнение БС
Контакторы,КТП 6632C (250А),16756,250,KTP,
Контакторы,КТП 6633Б (250А),15355,250,KTP,
Контакторы,КТП 6633С,17728,250,KTP,исполнение С
Контакторы,КТП 6042Б (400А) медные контакты,26300,400,KTP,медные контакты
Контакторы,КТП 6642С (400А),28500,400,KTP,исполнение С
Контакторы,КТП 6043Б (400А) медные контакты,29300,400,KTP,медные контакты
Контакторы,КТП 6643С (400А),33200,400,KTP,исполнение С
Контакторы,КТП 6052Б,33500,630,KTP,
Контакторы,КТП 6052С,39672,630,KTP,исполнение С
Контакторы,КТП 6053Б (630А),46040,630,KTP,
Контакторы,КТП 6653С (630А),54560,630,KTP,исполнение С
Контакторы,КТЭ 01-25 (без бвк),7500,,KTE,без БВК
Контакторы,КТЭ 01-25 (с бвк),8400,,KTE,с БВК
Контакторы,КТЭ 02-160 (без бвк),12300,160,KTE,без БВК
Контакторы,КТЭ 02-160 (1 бвк),13000,160,KTE,1 БВК
Контакторы,КТЭ 02-160 (2 бвк),14000,160,KTE,2 БВК
Контакторы,КТЭ 02-250 (без бвк),14500,250,KTE,без БВК
Контакторы,КТЭ 02-250 (1 бвк),14960,250,KTE,1 БВК
Контакторы,КТЭ 02-250 (2 бвк),16195,250,KTE,2 БВК
Аксессуары,Мех.блокировка КТ 6000,545,,ACCESSORY,
Аксессуары,Мех.блокировка КТ 6043/КТ 6643,755,,ACCESSORY,
Аксессуары,Мех.блокировка КТ 6053/КТ 6653,855,,ACCESSORY,
Выключатели,Выключатель путевой ВПК 3110,3900,,SWITCH,
Выключатели,Мех. блокировка,1850,,ACCESSORY,для ВПК 3110
Выключатели,Блок контактов на ВПК 3110,1860,,ACCESSORY,
Кулачковые элементы,ЭУ-1,790,,CAM,
Кулачковые элементы,ЭУ-5,790,,CAM,
Кулачковые элементы,КЭ-42,930,,CAM,
Кулачковые элементы,КЭ-46,4300,,CAM,
Кулачковые элементы,КЭ-47,2900,,CAM,
Кулачковые элементы,КЭ-54,2435,,CAM,
Кулачковые элементы,КЭ-61,4200,,CAM,
Пакетные переключатели,ПВП 17-29 (63А) 2-пакетный,2950,63,SWITCH,
Пакетные переключатели,ПВП 17-29 (63А) 3-пакетный,3595,63,SWITCH,
Пакетные переключатели,ПВП 17-29 (63А) 5-пакетный,5890,63,SWITCH,
Пакетные переключатели,ПВП 17-31 (100А) 2-пакетный,3240,100,SWITCH,
Пакетные переключатели,ПВП 17-31 (100А) 3-пакетный,3980,100,SWITCH,
Пакетные переключатели,ПВП 17-31 (100А) 5-пакетный,8175,100,SWITCH,
